    customer_id,tenure_months,monthly_charges,usage_drop_pct,support_tickets,days_since_last_purchase,contract_type,payment_method,churn
    CUST-10131,30,66.78,0.35,3,66,Two-Year,Credit Card,1
    CUST-10132,62,142.04,0.5,3,28,Two-Year,Bank Transfer,0
    CUST-10133,62,89.41,0.85,2,21,Month-to-Month,Bank Transfer,1
    CUST-10134,1,97.47,0.58,2,79,Month-to-Month,Bank Transfer,1
    CUST-10135,27,24.08,0.3,1,108,Month-to-Month,Bank Transfer,1
    CUST-10136,62,42.13,0.01,1,110,One-Year,Credit Card,0
    CUST-10137,3,102.28,0.88,2,87,Two-Year,Credit Card,1
    CUST-10138,70,74.58,0.44,1,10,Two-Year,Credit Card,0
    CUST-10139,27,86.06,0.84,3,26,Month-to-Month,Electronic Check,1
    CUST-10140,9,28.19,0.49,0,35,Month-to-Month,Bank Transfer,1
    CUST-10141,62,128.44,0.54,1,34,Two-Year,Electronic Check,0
    CUST-10142,37,121.99,0.64,2,2,Month-to-Month,Bank Transfer,1
    CUST-10143,51,44.1,0.29,3,95,One-Year,Electronic Check,1
    CUST-10144,44,102.46,0.63,0,43,Month-to-Month,Electronic Check,1
    CUST-10145,24,126.38,0.47,1,44,Two-Year,Credit Card,1
    CUST-10146,59,103.31,0.61,3,111,Month-to-Month,Bank Transfer,1
    CUST-10147,32,60.35,0.75,0,44,One-Year,Credit Card,0
    CUST-10148,52,105.29,0.17,2,43,Month-to-Month,Electronic Check,1
    CUST-10149,62,47.36,0.55,2,116,Month-to-Month,Electronic Check,1
    CUST-10150,58,61.37,0.05,1,52,Month-to-Month,Credit Card,0
    CUST-10151,52,51.21,0.09,2,110,Month-to-Month,Credit Card,1
    CUST-10152,12,92.4,0.61,2,5,Month-to-Month,Credit Card,1
    CUST-10153,39,34.07,0.06,3,19,Month-to-Month,Credit Card,1
    CUST-10154,2,141.33,0.54,4,30,Month-to-Month,Credit Card,1
    CUST-10155,3,63.36,0.2,0,49,Two-Year,Bank Transfer,1
    CUST-10156,56,48.47,0.27,0,111,Month-to-Month,Bank Transfer,1
    CUST-10157,59,84.55,0.12,2,63,Two-Year,Credit Card,0
    CUST-10158,2,56.01,0.22,1,116,Month-to-Month,Bank Transfer,1
    CUST-10159,2,89.54,0.74,2,81,Month-to-Month,Bank Transfer,1
    CUST-10160,54,65.31,0.57,1,29,One-Year,Electronic Check,0
    CUST-10161,1,37.17,0.85,1,76,Month-to-Month,Bank Transfer,1
    CUST-10162,19,54.57,0.04,2,72,One-Year,Bank Transfer,0
    CUST-10163,2,77.0,0.71,4,79,Month-to-Month,Electronic Check,1
    CUST-10164,53,23.94,0.63,2,53,One-Year,Credit Card,1
    CUST-10165,44,120.18,0.23,1,98,Two-Year,Bank Transfer,0
    CUST-10166,32,100.84,0.66,0,28,Two-Year,Electronic Check,1
    CUST-10167,70,98.18,0.64,0,85,Month-to-Month,Credit Card,1
    CUST-10168,32,90.99,0.41,1,53,Month-to-Month,Bank Transfer,1
    CUST-10169,68,96.74,0.62,3,17,Month-to-Month,Bank Transfer,1
    CUST-10170,55,141.5,0.4,2,117,One-Year,Bank Transfer,1
    CUST-10171,56,21.11,0.3,3,106,Two-Year,Electronic Check,1
    CUST-10172,17,26.21,0.42,1,82,Month-to-Month,Credit Card,1
    CUST-10173,38,44.89,0.81,2,24,One-Year,Credit Card,1
    CUST-10174,24,41.75,0.35,1,88,One-Year,Bank Transfer,1
    CUST-10175,69,43.56,0.36,2,76,One-Year,Electronic Check,0
    CUST-10176,70,107.35,0.55,4,65,One-Year,Credit Card,1
    CUST-10177,11,79.73,0.68,4,36,Month-to-Month,Credit Card,1
    CUST-10178,16,148.93,0.66,3,32,One-Year,Credit Card,1
    CUST-10179,59,49.5,0.02,5,69,Month-to-Month,Electronic Check,1
    CUST-10180,70,60.41,0.62,0,26,One-Year,Bank Transfer,0
    CUST-10181,3,147.95,0.41,2,56,Month-to-Month,Credit Card,1
    CUST-10182,20,128.13,0.47,1,67,Two-Year,Electronic Check,1
    CUST-10183,59,81.07,0.51,1,33,Two-Year,Bank Transfer,0
    CUST-10184,36,92.1,0.66,1,39,One-Year,Bank Transfer,1
    CUST-10185,19,129.61,0.75,2,84,Month-to-Month,Electronic Check,1
    CUST-10186,67,82.53,0.58,1,58,Two-Year,Bank Transfer,0
    CUST-10187,19,46.78,0.51,2,12,Two-Year,Bank Transfer,0
    CUST-10188,20,127.7,0.34,4,117,One-Year,Electronic Check,1
    CUST-10189,71,89.91,0.12,5,102,Two-Year,Bank Transfer,1
    CUST-10190,52,39.9,0.86,2,84,Month-to-Month,Electronic Check,1
    CUST-10191,33,85.73,0.42,0,81,One-Year,Credit Card,1
    CUST-10192,40,73.72,0.51,4,43,Month-to-Month,Electronic Check,1
    CUST-10193,39,133.99,0.68,3,72,Month-to-Month,Credit Card,1
    CUST-10194,1,36.39,0.06,1,107,One-Year,Credit Card,1
    CUST-10195,11,133.78,0.77,2,13,One-Year,Credit Card,1
    CUST-10196,57,86.59,0.72,2,73,Month-to-Month,Electronic Check,1
    CUST-10197,50,72.57,0.7,3,83,One-Year,Electronic Check,1
    CUST-10198,23,41.06,0.02,3,90,Month-to-Month,Electronic Check,1
    CUST-10199,31,111.11,0.47,4,116,One-Year,Credit Card,1
    CUST-10200,42,140.48,0.05,2,5,One-Year,Bank Transfer,0
    CUST-10201,7,68.8,0.5,2,106,Month-to-Month,Bank Transfer,1
    CUST-10202,16,51.41,0.65,7,45,One-Year,Electronic Check,1
    CUST-10203,60,92.13,0.11,1,89,Month-to-Month,Bank Transfer,0
    CUST-10204,2,123.5,0.63,5,5,One-Year,Credit Card,1
    CUST-10205,1,20.49,0.4,0,23,Month-to-Month,Credit Card,1
    CUST-10206,48,102.08,0.73,3,35,Month-to-Month,Bank Transfer,1
    CUST-10207,12,97.55,0.48,0,113,Month-to-Month,Bank Transfer,1
    CUST-10208,69,61.36,0.3,1,96,Two-Year,Credit Card,0
    CUST-10209,37,78.68,0.3,1,54,Month-to-Month,Electronic Check,1
    CUST-10210,32,52.11,0.81,5,106,Month-to-Month,Electronic Check,1
    CUST-10211,9,122.69,0.41,2,49,Month-to-Month,Bank Transfer,1
    CUST-10212,19,102.49,0.37,1,70,Month-to-Month,Bank Transfer,1
    CUST-10213,48,89.25,0.04,0,78,Month-to-Month,Electronic Check,1
    CUST-10214,3,71.03,0.33,2,105,Month-to-Month,Bank Transfer,1
    CUST-10215,20,57.88,0.76,1,93,Month-to-Month,Bank Transfer,1
    CUST-10216,24,126.96,0.68,2,37,Month-to-Month,Bank Transfer,1
    CUST-10217,54,78.68,0.2,0,119,Month-to-Month,Credit Card,1
    CUST-10218,33,85.19,0.37,4,22,Month-to-Month,Electronic Check,1
    CUST-10219,24,87.71,0.18,2,84,Month-to-Month,Bank Transfer,1
    CUST-10220,36,78.29,0.86,3,8,One-Year,Bank Transfer,1
    CUST-10221,38,53.29,0.54,1,91,One-Year,Bank Transfer,1
    CUST-10222,25,35.64,0.68,1,57,One-Year,Bank Transfer,1
    CUST-10223,18,32.81,0.64,3,112,Month-to-Month,Bank Transfer,1
    CUST-10224,66,118.47,0.79,2,71,One-Year,Bank Transfer,1
    CUST-10225,54,49.06,0.85,1,60,Two-Year,Credit Card,1
    CUST-10226,35,27.24,0.03,2,55,One-Year,Credit Card,0
    CUST-10227,61,123.68,0.88,3,34,Month-to-Month,Credit Card,1
    CUST-10228,41,40.03,0.78,1,41,One-Year,Credit Card,1
    CUST-10229,33,101.27,0.34,1,28,Month-to-Month,Bank Transfer,1
    CUST-10230,68,64.02,0.75,3,31,Month-to-Month,Bank Transfer,1
    CUST-10231,33,36.44,0.66,2,21,One-Year,Bank Transfer,1
    CUST-10232,14,73.88,0.71,5,74,One-Year,Credit Card,1
    CUST-10233,21,21.93,0.2,2,51,Month-to-Month,Credit Card,1
    CUST-10234,48,129.34,0.58,3,36,Month-to-Month,Credit Card,1
    CUST-10235,20,86.75,0.02,0,77,Two-Year,Electronic Check,0
    CUST-10236,8,38.09,0.76,2,26,Month-to-Month,Bank Transfer,1
    CUST-10237,7,50.81,0.86,1,98,Month-to-Month,Credit Card,1
    CUST-10238,67,78.24,0.6,3,19,One-Year,Credit Card,0
    CUST-10239,17,44.55,0.46,4,6,Two-Year,Bank Transfer,1
    CUST-10240,33,54.92,0.65,3,48,Two-Year,Electronic Check,1
    CUST-10241,48,89.47,0.29,3,15,Month-to-Month,Credit Card,1
    CUST-10242,59,128.24,0.56,0,110,Month-to-Month,Electronic Check,1
    CUST-10243,22,72.24,0.65,1,109,One-Year,Credit Card,1
    CUST-10244,30,113.21,0.13,1,49,One-Year,Credit Card,0
    CUST-10245,38,133.97,0.13,1,18,One-Year,Bank Transfer,0
    CUST-10246,51,48.12,0.64,4,84,Month-to-Month,Electronic Check,1
    CUST-10247,54,124.93,0.39,2,65,Two-Year,Credit Card,1
    CUST-10248,8,118.46,0.8,0,22,Two-Year,Bank Transfer,0
    CUST-10249,27,66.4,0.28,4,60,Month-to-Month,Credit Card,1
    CUST-10250,27,148.64,0.04,2,36,Month-to-Month,Bank Transfer,1
    CUST-10251,21,54.13,0.58,2,112,One-Year,Credit Card,1
    CUST-10252,30,53.12,0.62,4,82,Month-to-Month,Bank Transfer,1
    CUST-10253,28,120.39,0.5,3,10,One-Year,Credit Card,1
    CUST-10254,64,76.51,0.61,2,20,Month-to-Month,Bank Transfer,1
    CUST-10255,69,63.0,0.47,2,104,Month-to-Month,Bank Transfer,1
    CUST-10256,61,43.23,0.62,1,70,Two-Year,Electronic Check,0
    CUST-10257,48,119.49,0.04,2,113,One-Year,Bank Transfer,0
    CUST-10258,19,122.22,0.33,3,61,Month-to-Month,Electronic Check,1
    CUST-10259,4,93.65,0.19,5,101,One-Year,Bank Transfer,1
    CUST-10260,35,144.45,0.09,5,59,One-Year,Bank Transfer,1
    CUST-10261,64,61.36,0.21,1,22,Month-to-Month,Bank Transfer,0
    CUST-10262,49,48.55,0.17,1,68,Two-Year,Bank Transfer,0
    CUST-10263,17,108.07,0.88,0,4,Month-to-Month,Electronic Check,1
    CUST-10264,44,118.59,0.26,2,83,Two-Year,Bank Transfer,0
    CUST-10265,30,49.24,0.21,1,29,Month-to-Month,Bank Transfer,1
    CUST-10266,46,29.96,0.75,2,58,One-Year,Bank Transfer,1
    CUST-10267,6,125.37,0.38,1,58,Month-to-Month,Bank Transfer,1
    CUST-10268,37,146.95,0.38,0,54,Two-Year,Bank Transfer,0
    CUST-10269,24,103.81,0.4,4,28,Month-to-Month,Bank Transfer,1
    CUST-10270,46,56.12,0.37,2,105,Month-to-Month,Credit Card,1
    CUST-10271,53,149.57,0.29,1,77,Two-Year,Electronic Check,0
    CUST-10272,60,136.12,0.26,2,39,Month-to-Month,Electronic Check,0
    CUST-10273,63,86.74,0.79,1,57,Two-Year,Bank Transfer,1
    CUST-10274,32,127.29,0.15,1,64,Month-to-Month,Credit Card,0
    CUST-10275,33,126.06,0.16,2,92,One-Year,Credit Card,1
    CUST-10276,67,141.52,0.51,3,30,One-Year,Electronic Check,0
    CUST-10277,18,129.32,0.31,1,86,Month-to-Month,Credit Card,1
    CUST-10278,25,103.68,0.38,2,50,Two-Year,Credit Card,0
    CUST-10279,54,99.21,0.73,3,54,One-Year,Electronic Check,1
    CUST-10280,58,80.76,0.81,1,23,Month-to-Month,Electronic Check,1
    CUST-10281,67,101.44,0.71,1,18,Month-to-Month,Electronic Check,1
    CUST-10282,46,123.38,0.21,0,81,Month-to-Month,Bank Transfer,1
    CUST-10283,24,145.97,0.88,2,54,One-Year,Electronic Check,1
    CUST-10284,32,80.75,0.33,0,95,Month-to-Month,Electronic Check,1
    CUST-10285,47,94.57,0.15,2,28,Month-to-Month,Credit Card,1
    CUST-10286,23,77.82,0.45,0,8,Two-Year,Credit Card,0
    CUST-10287,66,106.9,0.65,2,32,Month-to-Month,Electronic Check,1
    CUST-10288,27,101.89,0.07,2,107,Two-Year,Electronic Check,1
    CUST-10289,2,22.32,0.57,7,6,Two-Year,Credit Card,1
    CUST-10290,17,90.35,0.77,2,72,Two-Year,Electronic Check,1
    CUST-10291,33,31.5,0.24,3,118,Month-to-Month,Bank Transfer,1
    CUST-10292,9,23.43,0.62,3,86,Two-Year,Electronic Check,1
    CUST-10293,43,122.86,0.36,1,40,Month-to-Month,Credit Card,1
    CUST-10294,48,53.62,0.37,2,51,Month-to-Month,Bank Transfer,1
    CUST-10295,39,64.29,0.25,1,47,Two-Year,Electronic Check,0
    CUST-10296,42,28.33,0.56,1,95,Month-to-Month,Credit Card,1
    CUST-10297,26,43.34,0.32,1,115,One-Year,Credit Card,1
    CUST-10298,50,119.53,0.75,1,70,Month-to-Month,Credit Card,1
    CUST-10299,25,84.16,0.87,5,68,Month-to-Month,Credit Card,1
    CUST-10300,24,134.49,0.84,3,119,One-Year,Bank Transfer,1
    CUST-10301,13,71.64,0.15,0,7,Two-Year,Electronic Check,0
    CUST-10302,60,54.93,0.01,1,98,Month-to-Month,Electronic Check,1
    CUST-10303,7,65.19,0.39,0,27,Month-to-Month,Electronic Check,1
    CUST-10304,57,112.66,0.66,2,66,Month-to-Month,Electronic Check,1
    CUST-10305,36,92.15,0.88,2,54,Month-to-Month,Credit Card,1
    CUST-10306,45,137.54,0.71,1,14,Month-to-Month,Bank Transfer,1
    CUST-10307,20,98.28,0.52,3,105,Month-to-Month,Credit Card,1
    CUST-10308,65,84.09,0.02,2,93,One-Year,Bank Transfer,0
    CUST-10309,8,122.15,0.74,2,103,Month-to-Month,Electronic Check,1
    CUST-10310,16,143.18,0.16,1,22,Month-to-Month,Credit Card,1
    CUST-10311,14,66.26,0.05,1,69,Month-to-Month,Credit Card,1
    CUST-10312,15,52.48,0.77,0,56,Two-Year,Electronic Check,1
    CUST-10313,66,100.11,0.51,4,108,Month-to-Month,Bank Transfer,1
    CUST-10314,32,84.85,0.12,2,82,Month-to-Month,Bank Transfer,1
    CUST-10315,63,148.59,0.35,2,60,Two-Year,Bank Transfer,0
    CUST-10316,51,80.11,0.08,1,51,Month-to-Month,Credit Card,0
    CUST-10317,25,29.66,0.57,4,16,Two-Year,Credit Card,1
    CUST-10318,58,147.06,0.25,2,108,Month-to-Month,Credit Card,1
    CUST-10319,63,129.67,0.78,4,6,Month-to-Month,Bank Transfer,1
    CUST-10320,62,43.17,0.32,0,1,Month-to-Month,Credit Card,0
    CUST-10321,22,137.6,0.45,3,12,One-Year,Bank Transfer,0
    CUST-10322,58,64.29,0.06,4,24,Month-to-Month,Electronic Check,1
    CUST-10323,58,69.02,0.25,3,75,Month-to-Month,Credit Card,1
    CUST-10324,49,137.83,0.61,6,43,One-Year,Credit Card,1
    CUST-10325,52,88.92,0.66,1,105,Month-to-Month,Electronic Check,1
    CUST-10326,42,37.91,0.22,3,34,One-Year,Electronic Check,0
    CUST-10327,70,67.98,0.45,1,93,One-Year,Bank Transfer,1
    CUST-10328,15,113.87,0.74,2,96,One-Year,Electronic Check,1
    CUST-10329,54,42.64,0.34,2,57,Month-to-Month,Credit Card,1
    CUST-10330,60,96.73,0.12,0,21,Month-to-Month,Electronic Check,0
    CUST-10331,8,110.39,0.39,4,40,One-Year,Electronic Check,1
    CUST-10332,53,64.7,0.54,1,33,Two-Year,Credit Card,0
    CUST-10333,60,110.2,0.01,3,33,One-Year,Bank Transfer,0
    CUST-10334,5,134.95,0.31,0,28,Month-to-Month,Credit Card,1
    CUST-10335,68,81.38,0.55,3,108,One-Year,Credit Card,1
    CUST-10336,6,69.78,0.86,3,100,One-Year,Electronic Check,1
    CUST-10337,47,52.65,0.37,2,65,Two-Year,Electronic Check,0
    CUST-10338,55,98.55,0.15,1,76,Month-to-Month,Credit Card,1
    CUST-10339,40,134.38,0.48,0,46,Month-to-Month,Electronic Check,1
    CUST-10340,52,62.21,0.26,2,33,Two-Year,Bank Transfer,0
    CUST-10341,16,71.51,0.19,2,108,Month-to-Month,Electronic Check,1
    CUST-10342,13,72.86,0.53,5,69,One-Year,Bank Transfer,1
    CUST-10343,30,92.91,0.82,4,66,One-Year,Credit Card,1
    CUST-10344,19,49.69,0.75,3,36,One-Year,Electronic Check,1
    CUST-10345,17,126.89,0.16,0,88,One-Year,Electronic Check,1
    CUST-10346,63,58.43,0.69,4,107,Month-to-Month,Bank Transfer,1
    CUST-10347,19,111.7,0.21,0,54,One-Year,Bank Transfer,0
    CUST-10348,58,86.72,0.26,1,50,One-Year,Credit Card,0
    CUST-10349,55,96.17,0.83,2,51,Two-Year,Credit Card,1
    CUST-10350,62,43.35,0.82,2,114,Month-to-Month,Credit Card,1
    CUST-10351,23,115.55,0.15,1,52,Month-to-Month,Credit Card,1
    CUST-10352,9,44.52,0.06,3,111,Month-to-Month,Bank Transfer,1
    CUST-10353,12,34.75,0.26,2,21,One-Year,Electronic Check,0
    CUST-10354,1,91.07,0.52,1,30,Month-to-Month,Electronic Check,1
    CUST-10355,58,112.21,0.79,4,15,Month-to-Month,Credit Card,1
    CUST-10356,1,26.5,0.11,6,9,Month-to-Month,Electronic Check,1
    CUST-10357,34,29.02,0.37,6,119,Two-Year,Credit Card,1
    CUST-10358,48,124.35,0.24,1,32,Month-to-Month,Electronic Check,0
    CUST-10359,1,125.17,0.01,3,72,Month-to-Month,Electronic Check,1
    CUST-10360,16,51.89,0.71,3,23,Month-to-Month,Electronic Check,1
    CUST-10361,61,99.98,0.73,4,27,Month-to-Month,Electronic Check,1
    CUST-10362,64,77.61,0.2,1,42,Month-to-Month,Bank Transfer,0
    CUST-10363,63,102.25,0.14,3,8,One-Year,Electronic Check,0
    CUST-10364,69,132.17,0.13,2,93,One-Year,Bank Transfer,0
    CUST-10365,22,30.38,0.42,3,11,One-Year,Bank Transfer,0
    CUST-10366,67,121.14,0.22,6,21,Month-to-Month,Bank Transfer,1
    CUST-10367,26,84.09,0.46,1,115,Month-to-Month,Electronic Check,1
